generated_at,claim_id,readme_location,readme_claim,stance_to_claim,evidence_type,source_title,doi,scite_query_used,relation_note,preliminary_quality_tier,recommended_next_step,status
2026-07-01,C1,Problem statement / trust-boundary definition,Tool output injection is best framed as an agent-tool trust-boundary and authority-confusion failure.,support,README_source,Formalizing and Benchmarking Prompt Injection Attacks and Defenses,10.48550/arxiv.2310.12815,README title lookup; threshold filters,"Supports formal prompt-injection framing and benchmark terminology, but does not by itself formalize the proposed agent-tool boundary.",Tier 1 - USENIX Security 2024 page in README,Use for definitions; explain how your boundary metric extends it.,scite_matched_candidate_not_yet_human_read
2026-07-01,C1,Problem statement / trust-boundary definition,Tool output injection is best framed as an agent-tool trust-boundary and authority-confusion failure.,support,additional_scite_discovered,A Framework for Formalizing LLM Agent Security,10.48550/arxiv.2603.19469,"(""tool output"" OR ""tool result"") AND ""prompt injection"" AND ""LLM agent""",Candidate formal agent-security framework that may help justify the boundary/control-object vocabulary.,Tier 3 - recent preprint,Read to see whether its formalism overlaps or conflicts with your boundary definition.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C1,Problem statement / trust-boundary definition,Tool output injection is best framed as an agent-tool trust-boundary and authority-confusion failure.,support,additional_scite_discovered,SoK: Trust-Authorization Mismatch in LLM Agent Interactions,10.48550/arxiv.2512.06914,"""tool poisoning"" OR ""malicious tool"" ""LLM agent"" ""prompt injection""",Candidate SoK that may directly support the trust/authority mismatch framing.,Tier 3 - recent preprint,High-priority read for related-work framing if it defines trust/authorization mismatches.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C2,Attack surface / prior work,Indirect prompt injection affects real-world LLM-integrated applications and tool-using agents.,support,README_source,Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,10.1145/3605764.3623985,README title lookup; threshold filters,Core source for real-world indirect prompt injection in LLM-integrated applications.,"Tier 2 - influential peer-reviewed/workshop paper, verify rank",Use in motivation and threat-model section.,scite_matched_candidate_not_yet_human_read
2026-07-01,C2,Attack surface / prior work,Indirect prompt injection affects real-world LLM-integrated applications and tool-using agents.,support,README_source,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,10.18653/v1/2024.findings-acl.624,README title lookup; threshold filters,Direct agent-specific benchmark evidence.,Tier 2 - ACL Findings,Use to justify tool-integrated-agent task selection.,scite_matched_candidate_not_yet_human_read
2026-07-01,C2,Browser-rendered or accessibility-derived content,Browser-rendered or accessibility-tree content can carry indirect prompt injection into web agents.,support,additional_scite_discovered,Manipulating LLM Web Agents with Indirect Prompt Injection Attack via HTML Accessibility Tree,10.48550/arxiv.2507.14799,"""accessibility tree"" ""prompt injection"" ""web agent"" ""LLM""",Direct candidate for the accessibility-tree entry point in the README.,Tier 3 - recent preprint,Read before deciding whether accessibility-tree injection remains in primary scope.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C2,Browser-rendered or accessibility-derived content,Web-agent benchmarks can test prompt-injection security beyond generic tool outputs.,support,additional_scite_discovered,WASP: Benchmarking Web Agent Security Against Prompt Injection Attacks,10.48550/arxiv.2504.18575,"""accessibility tree"" ""prompt injection"" ""web agent"" ""LLM""",Candidate web-agent security benchmark; may help scope browser-specific sub-study.,Tier 3 - recent preprint,Compare its metrics with your boundary-crossing metrics.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C3,H1 / structured and protocol-mediated carriers,Structured fields and constrained interfaces may reduce compromise relative to unconstrained free-text tool results.,support,README_source,StruQ: Defending Against Prompt Injection with Structured Queries,10.48550/arxiv.2402.06363,"""structured"" ""prompt injection"" ""LLM"" ""defending""",Direct structured-channel defence baseline for H1.,Tier 3 - preprint unless venue found,Read methods and limitations before claiming structured outputs reduce risk.,scite_matched_candidate_not_yet_human_read
2026-07-01,C3,H1 / provenance controls,Provenance marking can help distinguish trusted instructions from untrusted data.,support,README_source,Defending Against Indirect Prompt Injection Attacks With Spotlighting,10.48550/arxiv.2403.14720,README title lookup; threshold filters,Direct provenance-marking defence baseline.,Tier 3 - preprint unless venue found,"Use as parser/provenance baseline, not as complete architectural defence.",scite_matched_candidate_not_yet_human_read
2026-07-01,C3,H1 / parser baseline,Tool-result parsing is a candidate boundary-control defence.,support,README_source,Defense Against Indirect Prompt Injection via Tool Result Parsing,10.48550/arxiv.2601.04795,"(""tool output"" OR ""tool result"") AND ""prompt injection"" AND ""LLM agent""",Directly aligned with boundary mediation and parser-only baseline.,Tier 3 - recent preprint,Read to define the parser-only defence condition.,scite_matched_candidate_not_yet_human_read
2026-07-01,C3,H1 / structured defences,Structured or filtering defences need adaptive evaluation; they may not solve prompt injection by themselves.,challenge,additional_scite_discovered,Adaptive Attacks Break Defenses Against Indirect Prompt Injection Attacks on LLM Agents,10.18653/v1/2025.findings-naacl.395,"""adaptive attacks"" ""indirect prompt injection"" ""LLM agents""",Challenges over-strong claims about prompt-injection defences and supports adaptive-attack evaluation.,Tier 2 - NAACL Findings,Use as the main caveat for H4 and defence claims.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C4,H2 / error channels and self-correction carriers,Error channels and self-correction-like carriers may be disproportionately dangerous because models treat them as actionable feedback.,gap,additional_scite_discovered,"Taxonomy, Evaluation and Exploitation of IPI-Centric LLM Agent Defense Frameworks",10.48550/arxiv.2511.15203,"(""error message"" OR ""tool error"" OR ""self-correction"") AND ""prompt injection"" AND ""LLM agent""","Candidate related work, but Scite search did not reveal a clearly direct error-channel paper. Treat H2 as a research gap.",Tier 3 - recent preprint,Read to see whether it has error-channel taxonomy; otherwise keep H2 as novel experimental factor.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C4,H2 / error channels and self-correction carriers,Semantic virtualization or runtime interpretation controls may be relevant to error-channel mediation.,support_or_adjacent,additional_scite_discovered,AgentVisor: Defending LLM Agents Against Prompt Injection via Semantic Virtualization,10.48550/arxiv.2604.24118,"(""error message"" OR ""tool error"" OR ""self-correction"") AND ""prompt injection"" AND ""LLM agent""",Adjacent defence candidate for how runtime mediation could reduce actionability of untrusted content.,Tier 3 - recent preprint,Read only after core defence baselines; may inform architecture section.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C5,H3 / propagation and persistence,Long-horizon tasks with memory can amplify delayed compromise and sink reachability.,support,README_source,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,10.48550/arxiv.2410.02644,README title lookup and memory query,"README already cites it for vulnerabilities across tool use, prompt handling, and memory retrieval.",Tier 3 - preprint unless venue found,Use as benchmark support; still define your persistence metric separately.,scite_matched_candidate_not_yet_human_read
2026-07-01,C5,H3 / propagation and persistence,Temporal diagnostics/context purification are relevant to persistent or delayed indirect prompt injection.,support_or_adjacent,additional_scite_discovered,AgentSentry: Mitigating Indirect Prompt Injection in LLM Agents via Temporal Causal Diagnostics and Context Purification,10.48550/arxiv.2602.22724,"""memory"" ""prompt injection"" ""LLM agents"" ""indirect""",Candidate for temporal propagation and context purification; relevant to persistence metrics.,Tier 3 - recent preprint,"Read for metric/architecture ideas, not yet as established evidence.",scite_discovered_candidate_not_yet_human_read
2026-07-01,C5,H3 / propagation and persistence,Agent ecosystems may allow propagation beyond a single immediate action.,support_or_adjacent,additional_scite_discovered,ClawWorm: Self-Propagating Attacks Across LLM Agent Ecosystems,10.48550/arxiv.2603.15727,"(""tool output"" OR ""tool result"") AND ""prompt injection"" AND ""LLM agent""",Candidate supporting delayed/cross-agent propagation risks.,Tier 3 - recent preprint,Use cautiously; likely adjacent rather than directly measuring memory persistence.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C6,MCP/protocol-mediated analysis,MCP/protocol-mediated carriers may introduce or relocate prompt-injection surfaces.,support,additional_scite_discovered,Breaking the Protocol: Security Analysis of the Model Context Protocol Specification and Prompt Injection Vulnerabilities in Tool-Integrated LLM Agents,10.48550/arxiv.2601.17549,"(""Model Context Protocol"" OR MCP) AND ""prompt injection"" AND ""LLM agents""",Direct candidate support for MCP-specific prompt-injection risk.,Tier 3 - recent preprint,Read before finalizing MCP sub-study and scope limitations.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C6,MCP/protocol-mediated analysis,MCP tool poisoning is an important protocol-mediated boundary risk.,support,additional_scite_discovered,Model Context Protocol Threat Modeling and Analyzing Vulnerabilities to Prompt Injection with Tool Poisoning,10.48550/arxiv.2603.22489,"(""Model Context Protocol"" OR MCP) AND ""prompt injection"" AND ""LLM agents""",Direct candidate support for tool poisoning and MCP threat modeling.,Tier 3 - recent preprint,Read to refine entry-point taxonomy.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C6,MCP/protocol-mediated analysis,Secure MCP variants or protocol hardening could be compared with runtime mediation.,support_or_adjacent,additional_scite_discovered,SMCP: Secure Model Context Protocol,10.48550/arxiv.2602.01129,"(""Model Context Protocol"" OR MCP) AND ""prompt injection"" AND ""LLM agents""",Adjacent protocol-hardening source; useful for distinguishing protocol security from runtime boundary mediation.,Tier 3 - recent preprint,Use to avoid overclaiming that runtime mediation solves all MCP security.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C6,MCP/protocol-mediated analysis,Protocol-mediated tool outputs and poisoning can be operationalized as attack treatments.,support,additional_scite_discovered,MCP-ITP: An Automated Framework for Implicit Tool Poisoning in MCP,10.48550/arxiv.2601.07395,"""tool poisoning"" OR ""malicious tool"" ""LLM agent"" ""prompt injection""",Candidate implementation-focused MCP tool-poisoning source.,Tier 3 - recent preprint,Read if MCP tool descriptions/catalogues stay in scope.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C7,H4 / adaptive attack evaluation,"Simple filters or AI-firewall-style defences may degrade under adaptive bypass, so defences need adaptive evaluation.",support,additional_scite_discovered,Adaptive Attacks Break Defenses Against Indirect Prompt Injection Attacks on LLM Agents,10.18653/v1/2025.findings-naacl.395,"""adaptive attacks"" ""indirect prompt injection"" ""LLM agents""",Direct support for adaptive evaluation and a caution against overclaiming static defences.,Tier 2 - NAACL Findings,Make this a high-priority read for RQ2.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C7,H4 / red-teaming and adaptive attacks,Black-box red-teaming can generate stronger indirect prompt-injection attacks than static payload suites.,support,additional_scite_discovered,AGENTVIGIL: Automatic Black-Box Red-teaming for Indirect Prompt Injection against LLM Agents,10.18653/v1/2025.findings-emnlp.1258,"""adaptive attacks"" ""indirect prompt injection"" ""LLM agents""",Useful candidate for automatic red-teaming/adaptive attack generation.,Tier 2 - EMNLP Findings,Compare to your adaptive payload search protocol.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C7,H4 / runtime defences,"Runtime guardrails may need causal attribution or action-level checks, not only string filtering.",support_or_adjacent,additional_scite_discovered,CausalArmor: Efficient Indirect Prompt Injection Guardrails via Causal Attribution,10.48550/arxiv.2602.07918,"(""tool output"" OR ""tool result"") AND ""prompt injection"" AND ""LLM agent""",Candidate runtime-defence work that aligns with causal boundary metrics.,Tier 3 - recent preprint,Read for RQ2 design alternatives.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C8,H5 / white-box GCG and detection,Gradient-optimized GCG payloads are useful white-box stress tests but may be detectable by perplexity-based defences.,support,README_source,Universal and Transferable Adversarial Attacks on Aligned Language Models,10.48550/arxiv.2307.15043,README title lookup; threshold filters,Main source for universal transferable adversarial suffix/GCG attack design.,Tier 1/2 - verify publication status,Use for attacker tier T3; do not assume direct transfer to tool-output injection without pilot evidence.,scite_matched_candidate_not_yet_human_read
2026-07-01,C8,H5 / white-box GCG and detection,"Perplexity may flag optimized attack strings, making attacker effectiveness defence-dependent.",support,README_source,Detecting Language Model Attacks with Perplexity,10.48550/arxiv.2308.14132,README title lookup; threshold filters,Supports the detector caveat in H5.,Tier 3 - preprint unless venue found,"Use as a detection baseline/caveat, paired with bypass/adaptive-attack literature.",scite_matched_candidate_not_yet_human_read
2026-07-01,C8,H5 / baseline defences,"Baseline defences against aligned-LM adversarial attacks provide comparison points, but are not sufficient for tool-output boundary risk.",support_or_adjacent,README_source,Baseline Defenses for Adversarial Attacks Against Aligned Language Models,10.48550/arxiv.2309.00614,README title lookup; threshold filters,"Useful baseline, but adjacent rather than directly about agent tool-output injection.",Tier 3 - preprint unless venue found,"Use only in attacker/detector subsection, not as primary prompt-injection evidence.",scite_matched_candidate_not_yet_human_read
