generated_at,readme_id,zotero_collection,source,title,category,scite_primary_doi,scite_alternate_dois,scite_url,scite_match_status,scite_citing_publications_range,scite_supporting_context_range,scite_mentioning_context_range,scite_contrasting_context_range,scite_context_interpretation,venue_or_publication_status,preliminary_quality_tier,tier_basis,evidence_role,recommended_priority,limitations,citation_count_basis
2026-07-01,5,Agent benchmarks,Debenedetti et al.,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,benchmark,10.48550/arxiv.2406.13352,10.52202/079017-2636,https://arxiv.org/pdf/2406.13352,matched_by_title,1-4,1-4,50-99,0,Mostly neutral/background mentions in Scite context filters; at least one supporting context.,OpenReview / published DOI also found by Scite; venue needs manual confirmation,Tier 2 - verify venue,Central agent-security benchmark; publication venue/rank should be checked in Zotero/CORE.,Core benchmark for agent-specific prompt injection and defences.,Read early,Scite citation-publication and mentioning thresholds are not directly comparable.,"Scite plugin threshold filters on 2026-07-01; endpoint returned DOI/URL plus threshold matches, not raw tally JSON. Ranges are threshold-derived."
2026-07-01,12,Defences,Yu et al.,Defense Against Indirect Prompt Injection via Tool Result Parsing,defence,10.48550/arxiv.2601.04795,,https://doi.org/10.48550/arxiv.2601.04795,matched_by_title,0 or not returned by citing-publications filter,0,1-4,0,Very new candidate defence; Scite found only low mentioning context so far.,arXiv 2026,Tier 3 - recent preprint,Useful but not yet venue-verified or highly cited.,Candidate baseline for parser/tool-result mediation.,Read after core benchmark papers,No raw tally returned; low citation context may reflect recency.,"Scite plugin threshold filters on 2026-07-01; endpoint returned DOI/URL plus threshold matches, not raw tally JSON. Ranges are threshold-derived."
2026-07-01,15,Foundations,Yao et al.,ReAct: Synergizing Reasoning and Acting in Language Models,agent method,10.48550/arxiv.2210.03629,,https://arxiv.org/pdf/2210.03629,matched_by_title,250-499,1-4,500-999,0,"Highly cited foundation; Scite context is overwhelmingly mentioning/background, not dispute.",Commonly cited as ICLR 2023; verify venue metadata,Tier 1 - top ML venue if ICLR verified,Seminal agent loop paper; venue should be confirmed in Zotero.,Foundation for reasoning/action loops and agent architecture motivation.,Read early,Scite DOI is arXiv DOI; published venue DOI may differ.,"Scite plugin threshold filters on 2026-07-01; endpoint returned DOI/URL plus threshold matches, not raw tally JSON. Ranges are threshold-derived."
2026-07-01,17,Prompt injection and threat model,Greshake et al.,Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,attack paper,10.1145/3605764.3623985,10.48550/arxiv.2302.12173,https://doi.org/10.1145/3605764.3623985,matched_by_title,100-249,1-4,500-999,0,Strong foundational attack paper; Scite shows many neutral mentions and no contrasting threshold hit.,ACM DOI found; venue/rank needs manual confirmation,"Tier 2 - influential peer-reviewed/workshop paper, verify rank",Influential indirect prompt injection source; exact CORE rank should be checked.,Core foundation for indirect prompt injection threat model.,Read early,ArXiv and ACM DOI citation contexts may be split.,"Scite plugin threshold filters on 2026-07-01; endpoint returned DOI/URL plus threshold matches, not raw tally JSON. Ranges are threshold-derived."
2026-07-01,18,Prompt injection and threat model,Liu et al.,Formalizing and Benchmarking Prompt Injection Attacks and Defenses,benchmark,10.48550/arxiv.2310.12815,,https://arxiv.org/pdf/2310.12815,matched_by_title,5-9,1-4,10-24,0,Prompt-injection benchmark/formalization paper; no Scite contrasting threshold hit.,USENIX Security 2024 page in README,Tier 1 - top security venue,USENIX Security is a top systems/security venue.,High-priority source for formal definitions and benchmark framing.,Read early,Scite matched arXiv DOI rather than venue page DOI.,"Scite plugin threshold filters on 2026-07-01; endpoint returned DOI/URL plus threshold matches, not raw tally JSON. Ranges are threshold-derived."
2026-07-01,19,Agent benchmarks,Zhan et al.,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,benchmark,10.18653/v1/2024.findings-acl.624,10.48550/arxiv.2403.02691,https://aclanthology.org/2024.findings-acl.624.pdf,matched_by_title,10-24,0,5-9,0,Agent-specific benchmark; Scite shows neutral mentioning rather than explicit support/dispute.,ACL Findings 2024,Tier 2 - reputable peer-reviewed venue,ACL Findings is reputable but usually treated below main-conference top tier.,Agent benchmark and tool-integrated indirect prompt injection evidence.,Read early,Published and arXiv DOI citation contexts may be split.,"Scite plugin threshold filters on 2026-07-01; endpoint returned DOI/URL plus threshold matches, not raw tally JSON. Ranges are threshold-derived."
2026-07-01,20,Agent benchmarks,Zhang et al.,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,benchmark,10.48550/arxiv.2410.02644,,https://arxiv.org/pdf/2410.02644,matched_by_query,10-24,0,50-99,0,Strongly relevant benchmark; Scite context appears mostly neutral/background.,arXiv 2024,Tier 3 - preprint unless venue found,Important but venue status needs verification.,"Broad agent-security benchmark covering tool use, prompt handling, and memory retrieval.",Read early,Preprint status; verify whether accepted version exists.,"Scite plugin threshold filters on 2026-07-01; endpoint returned DOI/URL plus threshold matches, not raw tally JSON. Ranges are threshold-derived."
2026-07-01,21,Defences,Hines et al.,Defending Against Indirect Prompt Injection Attacks With Spotlighting,defence,10.48550/arxiv.2403.14720,,https://arxiv.org/pdf/2403.14720,matched_by_title,5-9,0,50-99,0,Relevant defence baseline; Scite context is mostly mentioning.,arXiv 2024,Tier 3 - preprint unless venue found,Defence is relevant; publication status needs confirmation.,Baseline for provenance-marking / spotlighting defence.,Read for defence chapter,No explicit supporting threshold hit despite many mentions.,"Scite plugin threshold filters on 2026-07-01; endpoint returned DOI/URL plus threshold matches, not raw tally JSON. Ranges are threshold-derived."
2026-07-01,22,Defences,Chen et al.,StruQ: Defending Against Prompt Injection with Structured Queries,defence,10.48550/arxiv.2402.06363,,https://arxiv.org/pdf/2402.06363,matched_by_title,5-9,0,25-49,0,Directly relevant structured-separation defence; Scite context mostly mentions it as a method/baseline.,arXiv 2024,Tier 3 - preprint unless venue found,Useful technical baseline; venue status must be verified.,Supports H1 as a candidate structured-channel baseline.,Read for structured-output hypothesis,No explicit supporting threshold hit; read full paper before claiming efficacy.,"Scite plugin threshold filters on 2026-07-01; endpoint returned DOI/URL plus threshold matches, not raw tally JSON. Ranges are threshold-derived."
2026-07-01,23,Defences,Liu et al.,DataSentinel: A Game-Theoretic Detection of Prompt Injection Attacks,defence,10.1109/sp61157.2025.00250,10.48550/arxiv.2504.11358,https://doi.org/10.1109/sp61157.2025.00250,matched_by_title,1-4,0,5-9,0,Recent high-quality defence candidate with low Scite citation context so far.,IEEE S&P 2025 DOI found by Scite,Tier 1 - top security venue if S&P metadata verified,IEEE S&P is a top security venue; verify exact venue metadata.,Adaptive/detection defence baseline.,Read for RQ2 defence comparison,Low context likely reflects recency.,"Scite plugin threshold filters on 2026-07-01; endpoint returned DOI/URL plus threshold matches, not raw tally JSON. Ranges are threshold-derived."
2026-07-01,24,Defences,Zhu et al.,MELON: Provable Defense Against Indirect Prompt Injection Attacks in AI Agents,defence,10.48550/arxiv.2502.05174,,http://arxiv.org/pdf/2502.05174,matched_by_query,1-4,1-4,25-49,0,Recent defence candidate; at least one supporting context in Scite filters.,arXiv 2025,Tier 3 - recent preprint,Useful for masked re-execution comparison; venue not verified.,Supports masked re-execution / tool comparison defence baseline.,Read for RQ2 defence comparison,README title differs slightly from Scite title; verify citation metadata.,"Scite plugin threshold filters on 2026-07-01; endpoint returned DOI/URL plus threshold matches, not raw tally JSON. Ranges are threshold-derived."
2026-07-01,25,Defences,Beurer-Kellner et al.,Design Patterns for Securing LLM Agents against Prompt Injections,design patterns,10.48550/arxiv.2506.08837,,https://arxiv.org/pdf/2506.08837,matched_by_title,5-9,0,25-49,0,Architecture/design-pattern source; Scite context mostly neutral mention.,arXiv 2025,Tier 3 - recent preprint,"Architecturally useful, but not yet top-venue verified.",Supports boundary-aware runtime-control framing.,Read early for contribution framing,"Use as design rationale, not sole evidence of efficacy.","Scite plugin threshold filters on 2026-07-01; endpoint returned DOI/URL plus threshold matches, not raw tally JSON. Ranges are threshold-derived."
2026-07-01,30,Attack methods,Zou et al.,Universal and Transferable Adversarial Attacks on Aligned Language Models,attack method,10.48550/arxiv.2307.15043,,https://arxiv.org/pdf/2307.15043,matched_by_title,100-249,5-9,1000-1999,0,Very high citation context; no Scite contrasting threshold hit in this query.,Venue/published status needs manual confirmation,Tier 1/2 - verify publication status,Seminal adversarial-suffix/GCG paper; exact venue metadata should be checked.,Foundation for white-box GCG attacker stress test.,Read for H5 attacker design,"Very high mentioning count is citation-statement based, not necessarily unique citing papers.","Scite plugin threshold filters on 2026-07-01; endpoint returned DOI/URL plus threshold matches, not raw tally JSON. Ranges are threshold-derived."
2026-07-01,32,Attack methods,Alon and Kamfonas,Detecting Language Model Attacks with Perplexity,detector,10.48550/arxiv.2308.14132,,https://arxiv.org/pdf/2308.14132,matched_by_title,10-24,0,50-99,0,Detector baseline; Scite context mostly neutral mentioning.,arXiv 2023,Tier 3 - preprint unless venue found,Relevant but should not be treated as top-tier until venue verified.,Supports H5 caveat about perplexity detection of optimized payloads.,Read for detector caveat,No direct contrasting threshold hit; compare against newer bypass work.,"Scite plugin threshold filters on 2026-07-01; endpoint returned DOI/URL plus threshold matches, not raw tally JSON. Ranges are threshold-derived."
2026-07-01,33,Attack methods,Jain et al.,Baseline Defenses for Adversarial Attacks Against Aligned Language Models,baseline defence,10.48550/arxiv.2309.00614,,https://arxiv.org/pdf/2309.00614,matched_by_title,25-49,0,100-249,0,Useful baseline-defence comparator; Scite context mostly neutral mentioning.,arXiv 2023,Tier 3 - preprint unless venue found,Useful baseline paper; venue status needs verification.,Baseline for adversarial-defence comparison and limitations.,Read for H5 baseline controls,"General aligned-LM attack defences, not specifically tool-output injection.","Scite plugin threshold filters on 2026-07-01; endpoint returned DOI/URL plus threshold matches, not raw tally JSON. Ranges are threshold-derived."
