paper,category,recommended_zotero_folder,corrected_tier,t3_subcategory,venue,year,doi,scite_citing_publications,scite_supporting,scite_questioning,scite_mentioning,classification_reason
AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,Agent security benchmarks,T1,T1,,The Thirteenth International Conference on Learning Representations,2024,,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,Agent security benchmarks,T1,T1,,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,2023,10.18653/v1/2023.emnlp-main.187,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
Identifying the Risks of LM Agents with an LM-Emulated Sandbox,Agent security benchmarks,T1,T1,,The Twelfth International Conference on Learning Representations,2023,,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
OS-Harm: A Benchmark for Measuring Safety of Computer Use Agents,Agent security benchmarks,T1,T1,,The Thirty-ninth Annual Conference on Neural Information Processing Systems Datasets and Benchmarks Track,2025,,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
SafeToolBench: Pioneering a Prospective Benchmark to Evaluating Tool Utilization Safety in LLMs,Agent security benchmarks,T1,T1,,The 2025 Conference on Empirical Methods in Natural Language Processing,2025,10.18653/v1/2025.findings-emnlp.958,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
ToolSword: Unveiling Safety Issues of Large Language Models in Tool Learning Across Three Stages,Agent security benchmarks,T1,T1,,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2024,10.18653/v1/2024.acl-long.119,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
Les Dissonances: Cross-Tool Harvesting and Polluting in Pool-of-Tools Empowered LLM Agents,Attack generation and adaptive attacks; Agent security benchmarks,T1,T1,,arXiv; The Network and Distributed System Security (NDSS) Symposium 2026,2025,10.48550/arXiv.2504.03111,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
Prompt Injection Attack to Tool Selection in LLM Agents,Attack generation and adaptive attacks; Agent security benchmarks,T1,T1,,arXiv; The Network and Distributed System Security (NDSS) Symposium 2026,2025; 2026,10.48550/arXiv.2504.19793; 10.14722/ndss.2026.230675,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,Defences and guardrails,T1,T1,,Advances in Neural Information Processing Systems,2024,10.52202/079017-2636,1 to 4,1 to 4,0,50 to 99,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
Benchmarking and Defending against Indirect Prompt Injection Attacks on Large Language Models,Defences and guardrails,T1,T1,,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.1,2025,10.1145/3690624.3709179,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
MELON: Provable Defense Against Indirect Prompt Injection Attacks in AI Agents,Defences and guardrails,T1,T1,,Forty-second International Conference on Machine Learning,2025,,1 to 4,1 to 4,0,25 to 49,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
PIGuard: Prompt Injection Guardrail via Mitigating Overdefense for Free,Defences and guardrails,T1,T1,,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics,2025,10.18653/v1/2025.acl-long.1468,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
SecAlign: Defending Against Prompt Injection with Preference Optimization,Defences and guardrails,T1,T1,,Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,2025,10.1145/3719027.3744836,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
StruQ: Defending Against Prompt Injection with Structured Queries,Defences and guardrails,T1,T1,,arXiv; 34th USENIX Security Symposium (USENIX Security 25),2024; 2025,10.48550/arXiv.2402.06363,5 to 9,0,0,25 to 49,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
Gorilla: large language model connected with massive APIs,Foundations - LLM agents and tool use,T1,T1,,Proceedings of the 38th International Conference on Neural Information Processing Systems,2024,,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
Tool Learning with Foundation Models,Foundations - LLM agents and tool use,T1,T1,,ACM Computing Surveys,2024,10.1145/3704435,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
Toolformer: Language Models Can Teach Themselves to Use Tools,Foundations - LLM agents and tool use,T1,T1,,Thirty-seventh Conference on Neural Information Processing Systems,2023,,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs,Foundations - LLM agents and tool use,T1,T1,,The Twelfth International Conference on Learning Representations,2023,,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
WebArena: A Realistic Web Environment for Building Autonomous Agents,Foundations - LLM agents and tool use,T1,T1,,The Twelfth International Conference on Learning Representations,2023,,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
MCIP: Protecting MCP Safety via Model Contextual Integrity Protocol,MCP security,T1,T1,,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,2025,10.18653/v1/2025.emnlp-main.62,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
MCP Security Bench (MSB): Benchmarking Attacks Against Model Context Protocol in LLM Agents,MCP security,T1,T1,,arXiv; The Fourteenth International Conference on Learning Representations,2025,10.48550/arXiv.2510.15994,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
MCP-Bench: Benchmarking Tool-Using LLM Agents with Complex Real-World Tasks via MCP Servers,MCP security,T1,T1,,The Fourteenth International Conference on Learning Representations,2025,,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
MCPTox: A Benchmark for Tool Poisoning on Real-World MCP Servers,MCP security,T1,T1,,Proceedings of the AAAI Conference on Artificial Intelligence,2026,10.1609/aaai.v40i42.40895,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
"Model Context Protocol (MCP): Landscape, Security Threats, and Future Research Directions",MCP security,T1,T1,,ACM Trans. Softw. Eng. Methodol.,2026,10.1145/3796519,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
ChatInject: Abusing Chat Templates for Prompt Injection in LLM Agents,Prompt injection core,T1,T1,,The Fourteenth International Conference on Learning Representations,2025,,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
ObliInjection: Order-Oblivious Prompt Injection Attack to LLM Agents with Multi-source Data,Prompt injection core,T1,T1,,arXiv,2025,10.48550/arXiv.2512.09321,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
Tensor Trust: Interpretable Prompt Injection Attacks from an Online Game,Prompt injection core,T1,T1,,The Twelfth International Conference on Learning Representations,2023,,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
ReAct: Synergizing Reasoning and Acting in Language Models,To verify; Foundations - LLM agents and tool use,T1,T1,,arXiv; The Eleventh International Conference on Learning Representations,2022,10.48550/arXiv.2210.03629,250 to 499,1 to 4,0,500 to 999,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,Agent security benchmarks,T2,T2,,Findings of the Association for Computational Linguistics: ACL 2024,2024,10.18653/v1/2024.findings-acl.624,10 to 24,0,0,5 to 9,"Reputable peer-reviewed venue or strong publisher signal, but not treated as top-tier in this screening pass."
StableToolBench: Towards Stable Large-Scale Benchmarking on Tool Learning of Large Language Models,Agent security benchmarks,T2,T2,,Findings of the Association for Computational Linguistics: ACL 2024,2024,10.18653/v1/2024.findings-acl.664,Not estimated,Not estimated,Not estimated,Not estimated,"Reputable peer-reviewed venue or strong publisher signal, but not treated as top-tier in this screening pass."
AGENTVIGIL: Automatic Black-Box Red-teaming for Indirect Prompt Injection against LLM Agents,Attack generation and adaptive attacks,T2,T2,,Findings of the Association for Computational Linguistics: EMNLP 2025,2025,10.18653/v1/2025.findings-emnlp.1258,Not estimated,Not estimated,Not estimated,Not estimated,"Reputable peer-reviewed venue or strong publisher signal, but not treated as top-tier in this screening pass."
Adaptive Attacks Break Defenses Against Indirect Prompt Injection Attacks on LLM Agents,Defences and guardrails,T2,T2,,Findings of the Association for Computational Linguistics: NAACL 2025,2025,10.18653/v1/2025.findings-naacl.395,Not estimated,Not estimated,Not estimated,Not estimated,"Reputable peer-reviewed venue or strong publisher signal, but not treated as top-tier in this screening pass."
Defending against Indirect Prompt Injection by Instruction Detection,Defences and guardrails,T2,T2,,Findings of the Association for Computational Linguistics: EMNLP 2025,2025,10.18653/v1/2025.findings-emnlp.1060,Not estimated,Not estimated,Not estimated,Not estimated,"Reputable peer-reviewed venue or strong publisher signal, but not treated as top-tier in this screening pass."
A Prompt-Aware Structuring Framework for Reliable Reuse of AI-Generated Content in the Agentic Web,Foundations - LLM agents and tool use,T2,T2,,ACM proceedings signal,2026,10.1145/3774905.3795092,Not estimated,Not estimated,Not estimated,Not estimated,"Reputable peer-reviewed venue or strong publisher signal, but not treated as top-tier in this screening pass."
A survey on large language model based autonomous agents,Foundations - LLM agents and tool use,T2,T2,,Frontiers of Computer Science,2024,10.1007/s11704-024-40231-1,Not estimated,Not estimated,Not estimated,Not estimated,"Reputable peer-reviewed venue or strong publisher signal, but not treated as top-tier in this screening pass."
"Context, Reasoning, and Hierarchy: A Cost-Performance Study of Compound LLM Agent Design in an Adversarial POMDP",Foundations - LLM agents and tool use,T2,T2,,ACM proceedings signal,2026,10.1145/3786335.3813149,Not estimated,Not estimated,Not estimated,Not estimated,"Reputable peer-reviewed venue or strong publisher signal, but not treated as top-tier in this screening pass."
"Securing the Agent: Vendor-Neutral, Multitenant Enterprise Retrieval and Tool Use",Foundations - LLM agents and tool use,T2,T2,,ACM proceedings signal,2026,10.1145/3786335.3813145,Not estimated,Not estimated,Not estimated,Not estimated,"Reputable peer-reviewed venue or strong publisher signal, but not treated as top-tier in this screening pass."
The rise and potential of large language model based agents: a survey,Foundations - LLM agents and tool use,T2,T2,,Science China Information Sciences,2025,10.1007/s11432-024-4222-0,Not estimated,Not estimated,Not estimated,Not estimated,"Reputable peer-reviewed venue or strong publisher signal, but not treated as top-tier in this screening pass."
How Not to Detect Prompt Injections with an LLM,Prompt injection core,T2,T2,,Proceedings of the 18th ACM Workshop on Artificial Intelligence and Security,2026,10.1145/3733799.3762980,Not estimated,Not estimated,Not estimated,Not estimated,"Workshop venue signal; useful supporting literature, but not treated as top-tier main-conference evidence."
Ignore Previous Prompt: Attack Techniques For Language Models,Prompt injection core,T2,T2,,NeurIPS ML Safety Workshop,2022,,Not estimated,Not estimated,Not estimated,Not estimated,"Workshop venue signal; useful supporting literature, but not treated as top-tier main-conference evidence."
Indirect prompt injection in large language models,Prompt injection core,T2,T2,,Springer / Neural Computing and Applications signal,2026,10.1007/s00521-026-12266-x,Not estimated,Not estimated,Not estimated,Not estimated,"Reputable peer-reviewed venue or strong publisher signal, but not treated as top-tier in this screening pass."
Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,Prompt injection core,T2,T2,,Proceedings of the 16th ACM Workshop on Artificial Intelligence and Security,2023,10.1145/3605764.3623985,100 to 249,1 to 4,0,500 to 999,"Workshop venue signal; useful supporting literature, but not treated as top-tier main-conference evidence."
Universal and Transferable Adversarial Attacks on Aligned Language Models,Defences and guardrails,T3-influential-preprint,T3,T3-influential-preprint,arXiv,2023,10.48550/arXiv.2307.15043,100 to 249,5 to 9,0,1000 to 1999,Preprint/uncertain source but has strong Scite attention or positive citation-context signal; cite only after reading methods/claims.
Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,Defences and guardrails,T3-supported-or-mentioned-preprint,T3,T3-supported-or-mentioned-preprint,arXiv,2024,10.48550/arXiv.2410.02644,10 to 24,0,0,50 to 99,Preprint/uncertain source with some Scite citation-context signal and no strong questioning signal.
Formalizing and Benchmarking Prompt Injection Attacks and Defenses,Defences and guardrails,T3-supported-or-mentioned-preprint,T3,T3-supported-or-mentioned-preprint,arXiv,2023,10.48550/arXiv.2310.12815,5 to 9,1 to 4,0,10 to 24,Preprint/uncertain source with some Scite citation-context signal and no strong questioning signal.
Simple Prompt Injection Attacks Can Leak Personal Data Observed by LLM Agents During Task Execution,Agent security benchmarks,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2025,10.48550/arXiv.2506.01055,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
AgentVigil: Generic Black-Box Red-teaming for Indirect Prompt Injection against LLM Agents,Attack generation and adaptive attacks,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2025,10.48550/arXiv.2505.05849,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
ACE: A Security Architecture for LLM-Integrated App Systems,Defences and guardrails,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2025,10.48550/arXiv.2504.20984,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
Attention is All You Need to Defend Against Indirect Prompt Injection Attacks in LLMs,Defences and guardrails,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2025,10.48550/arXiv.2512.08417,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
Defeating Prompt Injections by Design,Defences and guardrails,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2025,10.48550/arXiv.2503.18813,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
Defending Against Prompt Injection with DataFilter,Defences and guardrails,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2025,10.48550/arXiv.2510.19207,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
"Indirect Prompt Injections: Are Firewalls All You Need, or Stronger Benchmarks?",Defences and guardrails,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2025,10.48550/arXiv.2510.05244,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
Meta SecAlign: A Secure Foundation LLM Against Prompt Injection Attacks,Defences and guardrails,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2026,10.48550/arXiv.2507.02735,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
The Instruction Hierarchy: Training LLMs to Prioritize Privileged Instructions,Defences and guardrails,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2024,10.48550/arXiv.2404.13208,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
VIGIL: Defending LLM Agents Against Tool Stream Injection via Verify-Before-Commit,Defences and guardrails,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2026,10.48550/arXiv.2601.05755,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
"MRKL Systems: A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning",Foundations - LLM agents and tool use,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2022,10.48550/arXiv.2205.00445,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
WebGPT: Browser-assisted question-answering with human feedback,Foundations - LLM agents and tool use,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2022,10.48550/arXiv.2112.09332,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
AgentLAB: Benchmarking LLM Agents against Long-Horizon Attacks,Long-horizon and memory risks,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2026,10.48550/arXiv.2602.16901,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
Architecting Secure AI Agents: Perspectives on System-Level Defenses Against Indirect Prompt Injection Attacks,Long-horizon and memory risks,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2026,10.48550/arXiv.2603.30016,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
AttriGuard: Defeating Indirect Prompt Injection in LLM Agents via Causal Attribution of Tool Invocations,Long-horizon and memory risks,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2026,10.48550/arXiv.2603.10749,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
CausalArmor: Efficient Indirect Prompt Injection Guardrails via Causal Attribution,Long-horizon and memory risks,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2026,10.48550/arXiv.2602.07918,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
Clawed and Dangerous: Can We Trust Open Agentic Systems?,Long-horizon and memory risks,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2026,10.48550/arXiv.2603.26221,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
Deep Research Brings Deeper Harm,Long-horizon and memory risks,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2025,10.48550/arXiv.2510.11851,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
A First Measurement Study on Authentication Security in Real-World Remote MCP Servers,MCP security,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2026,10.48550/arXiv.2605.22333,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
Beyond the Protocol: Unveiling Attack Vectors in the Model Context Protocol (MCP) Ecosystem,MCP security,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2025,10.48550/arXiv.2506.02040,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
MCP-Guard: A Multi-Stage Defense-in-Depth Framework for Securing Model Context Protocol in Agentic AI,MCP security,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2026,10.48550/arXiv.2508.10991,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
MCP-ITP: An Automated Framework for Implicit Tool Poisoning in MCP,MCP security,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2026,10.48550/arXiv.2601.07395,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
MCPGuard: Automatically Detecting Vulnerabilities in MCP Servers,MCP security,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2025,10.48550/arXiv.2510.23673,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
MCPSecBench: A Systematic Security Benchmark and Playground for Testing Model Context Protocols,MCP security,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2025,10.48550/arXiv.2508.13220,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
Semantic Attacks on Tool-Augmented LLMs: Securing the Model Context Protocol Against Descriptor-Level Manipulation,MCP security,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2026,10.48550/arXiv.2512.06556,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
Prompt Injection attack against LLM-integrated Applications,Prompt injection core,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2025,10.48550/arXiv.2306.05499,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
"Prompt Injection Attacks on Agentic Coding Assistants: A Systematic Analysis of Vulnerabilities in Skills, Tools, and Protocol Ecosystems",Prompt injection core,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2025,10.48550/arXiv.2601.17548,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
The Landscape of Prompt Injection Threats in LLM Agents: From Taxonomy to Analysis,Prompt injection core,Watchlist-low-signal-preprint,Watchlist,Watchlist-low-signal-preprint,arXiv,2026,10.48550/arXiv.2602.10453,Not estimated,Not estimated,Not estimated,Not estimated,Preprint with no usable Scite tally in this pass; read only if directly relevant to your RQ.
Why Single-Layer LLM Guardrails Fail: A Dual-Detection Pattern on AWS Bedrock,Defences and guardrails,Watchlist-low-source-confidence,Watchlist,Watchlist-low-source-confidence,Research Square,2026,10.21203/rs.3.rs-9707431/v1,Not estimated,Not estimated,Not estimated,Not estimated,"Research Square/Zenodo style source or weak source signal; keep for monitoring, not thesis support unless independently validated."
Measuring What Survives: Pressure-Filtered Persistence and a Masking Index for LLM-Agent Safety Evaluation,Long-horizon and memory risks,Watchlist-low-source-confidence,Watchlist,Watchlist-low-source-confidence,Research Square,2026,10.21203/rs.3.rs-10026792/v1,Not estimated,Not estimated,Not estimated,Not estimated,"Research Square/Zenodo style source or weak source signal; keep for monitoring, not thesis support unless independently validated."
SECREFLECT: Reliable Context Evolution for Autonomous Cyber Agents via Pre-Memory Reflection Validation,Long-horizon and memory risks,Watchlist-low-source-confidence,Watchlist,Watchlist-low-source-confidence,Research Square,2026,10.21203/rs.3.rs-9843491/v1,Not estimated,Not estimated,Not estimated,Not estimated,"Research Square/Zenodo style source or weak source signal; keep for monitoring, not thesis support unless independently validated."
Can Model Internals Detect MCP Tool Poisoning That Text Analysis Cannot?,MCP security,Watchlist-low-source-confidence,Watchlist,Watchlist-low-source-confidence,Zenodo,2026,10.5281/zenodo.19990740,Not estimated,Not estimated,Not estimated,Not estimated,"Research Square/Zenodo style source or weak source signal; keep for monitoring, not thesis support unless independently validated."
From prompt injections to protocol exploits: Threats in LLM-powered AI agents workflows,Prompt injection core,Watchlist-venue-quality-risk,Watchlist,Watchlist-venue-quality-risk,ICT Express,2026,10.1016/j.icte.2025.12.001,Not estimated,Not estimated,Not estimated,Not estimated,Venue/source quality needs manual CORE/SJR/JCR verification before citation.
AmpleGCG: Learning a Universal and Transferable Generative Model of Adversarial Suffixes for Jailbreaking Both Open and Closed LLMs,Attack generation and adaptive attacks,Watchlist-manual-verify,Watchlist,Watchlist-manual-verify,First Conference on Language Modeling,2024,,Not estimated,Not estimated,Not estimated,Not estimated,Source quality was not identified automatically; verify venue/rank manually.
"Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms",Defences and guardrails,T2-caution-mdpi-q2,T2,T2-caution-mdpi-q2,Information,2026,10.3390/info17010054,Not estimated,Not estimated,Not estimated,Not estimated,"MDPI journal with current JCR Q2 signal; usable as cautious background/supporting evidence, but not treated as T1."
MCP safety audit: LLMs with the model context protocol allow major security exploits,MCP security,T3-citable-proceedings,T3,T3-citable-proceedings,SPIE proceedings,2026,10.1117/12.3097390,Not estimated,Not estimated,Not estimated,Not estimated,"Formal SPIE proceedings record with DOI and direct topic relevance, but not a top CS/AI/security venue; use as supporting/case-study evidence."
Model Context Protocol Threat Modeling and Analysis of Vulnerabilities to Prompt Injection with Tool Poisoning,MCP security,T2-caution-mdpi-q2,T2,T2-caution-mdpi-q2,Journal of Cybersecurity and Privacy,2026,10.3390/jcp6030084,Not estimated,Not estimated,Not estimated,Not estimated,"MDPI journal with current JCR Q2 signal; usable as cautious background/supporting evidence, but not treated as T1."
